obs	CPR	RQR	YPDR	TCR	lcpr	lrqr	lydr	ltcr
1993.4	933207.769	553571.9813	1050608.475	3.08	13.74638314	13.22414707	13.86488005	1.124929597
1994.1	918003.59	580689.7076	1027436.875	3.08	13.72995658	13.27197183	13.84257779	1.124929597
1994.2	956209.543	578320.0038	1070252.809	3.22	13.77073236	13.26788263	13.88340545	1.16938136
1994.3	939831.541	589366.3154	1018217.475	3.25	13.75345593	13.2868032	13.83356408	1.178654996
1994.4	988635.469	626517.0803	1104245.551	3.4	13.80408096	13.34793132	13.9146729	1.223775432
1995.1	887916.137	607586.6585	1018323.641	5.18	13.69663258	13.31725009	13.83366834	1.644805056
1995.2	854404.467	517861.1295	967239.393	4.58	13.65815998	13.1574624	13.78220131	1.521698998
1995.3	848686.5	504470.562	932833.1697	4.31	13.65144514	13.13126477	13.74598165	1.460937904
1995.4	897618.761	519514.3664	1023285.446	4.79	13.70750071	13.16064974	13.83852903	1.566530411
1996.1	868736.339	511034.2073	1018860.002	4.54	13.67479495	13.14419181	13.83419492	1.512927012
1996.2	878233.115	509943.5681	1033707.325	4.26	13.68566734	13.14205535	13.84866224	1.44926916
1996.3	875418.453	516108.8982	1002125.759	4.14	13.68245728	13.15407307	13.81763406	1.420695788
1996.4	937754.673	532437.9866	1095428.589	4.11	13.75124365	13.18522171	13.90665625	1.413423029
1997.1	887254.082	548660.1221	1069623.751	3.89	13.69588667	13.21523444	13.88281751	1.358409158
1997.2	950626.441	567997.8565	1123386.295	3.8	13.76487646	13.24987292	13.93185816	1.335001067
1997.3	940579.173	578073.5747	1079927.954	3.67	13.75425111	13.26745643	13.89240489	1.300191662
1997.4	1007977.488	596459.8339	1173175.705	3.69	13.82345639	13.29876718	13.97522491	1.305626458
1998.1	963077.345	594183.2452	1152402.996	3.66	13.777889	13.29494304	13.95735988	1.297463147
1998.2	1005845.532	605807.5784	1171819.866	3.67	13.82133907	13.31431769	13.97406854	1.300191662
1998.3	994129.729	610258.8419	1136266.201	3.9	13.80962299	13.32163848	13.94325818	1.360976553
1998.4	1025672.589	617850.8803	1205113.036	3.95	13.84085914	13.33400241	14.00208393	1.373715579
1999.1	978525.517	618867.0932	1173786.91	3.72	13.79380214	13.33564582	13.97574576	1.313723668
1999.2	1039474.278	633830.0564	1212877.662	3.47	13.85422564	13.35953615	14.00850633	1.244154594
1999.3	1035155.319	655890.139	1188100.018	3.39	13.85006204	13.39374858	13.98786597	1.220829921
1999.4	1099456.946	671967.6059	1271036.377	3.37	13.91032693	13.41796541	14.05534317	1.214912744
2000.1	1058679.418	636787.6504	1259795.937	3.28	13.87253286	13.36419152	14.04646031	1.187843422
2000.2	1128676.872	677733.7703	1303437.601	3.31	13.93655659	13.42650982	14.08051564	1.196948189
2000.3	1125997.712	693186.3877	1273988.76	3.22	13.93418006	13.4490542	14.05766329	1.16938136
2000.4	1170851.25	669718.0203	1329702.069	3.21	13.97324161	13.41461204	14.10046547	1.166270937
2001.1	1126403.572	677853.3132	1289098.022	3.25	13.93454044	13.42668619	14.06945332	1.178654996
2001.2	1172621.63	690784.8967	1306958.486	3.08	13.97475251	13.44558376	14.08321323	1.124929597
2001.3	1143376.782	718270.9068	1256357.834	3.07	13.94949653	13.48460208	14.04372749	1.121677562
2001.4	1186378.063	739957.9571	1311659.866	3.03	13.98641558	13.51434865	14.08680397	1.10856262
2002.1	1106925.631	743661.4976	1265438.744	2.96	13.91709703	13.51934123	14.05092945	1.085189268
2002.2	1205980.83	751074.1062	1335538.816	3.06	14.00280376	13.5292596	14.10484538	1.118414916
2002.3	1164410	781570.9834	1277667	3.260110678	13.96772508	13.56906125	14.06054632	1.181761145
2002.4	1213524	808604.0405	1343183	3.013615	14.00903908	13.60306463	14.11055273	1.103140355
2003.1	1150610	803990.4596	1306291	3.100431	13.95580279	13.59734268	14.08270238	1.131541134
2003.2	1238314	818772.657	1354562	3.397831	14.02926133	13.61556174	14.11898871	1.223137287
2003.3	1200142	854935.0379	1313379	3.349285	13.99795044	13.65878077	14.08811376	1.20874689
2003.4	1257638	913690.9265	1410397	3.131975	14.04474592	13.72524764	14.15938178	1.141663796
